input,expected_output
"Orders from AboutYou stopped coming into the platform about two hours ago. Nothing in the queue.","Urgent"
"Where can I find the documentation for the stock movement endpoint field definitions?","Not urgent"
"Our stock levels are showing 40 units but our warehouse says 12. We're overselling right now.","Urgent"
"We'd like to request a bulk export feature for invoice data in a future release.","Not urgent"
"Getting 401 errors on every API call since this morning. Nothing changed on our side.","Urgent"
"A customer has requested deletion of their data under GDPR. We need to respond within the deadline.","Urgent"
"Still setting up our sandbox integration - which environment URL should we point to for testing?","Not urgent"
"Three orders shipped to the wrong addresses yesterday. Customers are already contacting us.","Urgent"
"Our monthly reconciliation report shows a 40 EUR discrepancy from last quarter. Can someone check?","Not urgent"
"Order-to-ship SLA has been breached on 15 orders this morning and the count is climbing.","Urgent"
"Can you explain how the consolidation logic decides which orders get combined?","Not urgent"
"Something's wrong with the feed.","Urgent"
"The invoice API is timing out intermittently, but we have a retry in place so nothing is failing yet.","Not urgent"
"We're seeing delays on the shipping notice endpoint across what looks like all merchants on Otto.","Urgent"
"Who's our commercial contact for discussing the pricing tiers next quarter?","Not urgent"
"No rush at all, but I noticed our inventory numbers haven't updated since Friday afternoon.","Urgent"
"This is completely unacceptable. I have been waiting two days for an answer on which field is mandatory in the invoice payload.","Not urgent"
"We go live with Otto next Monday and our sandbox tests are still failing on the order endpoint.","Not urgent"
"Can you delete the test customer records we pushed to your system last week? They were dummy data.","Not urgent"
"Our warehouse team says they have not received the stock file for three days now.","Urgent"
"The API is returning 500s on roughly 2% of calls since yesterday. Most orders are going through fine.","Urgent"
"The marketplace is telling us our shipping notices are late, but our logs show we sent them on time.","Urgent"
"Two things: our stock file failed to import this morning, and separately could you send the returns API docs?","Urgent"
"Next month we are moving to a new warehouse and will need our SLA configuration updated.","Not urgent"
"Everything is broken.","Urgent"
